"","year","haul_number","stratum","area","Indicator","month","day","vessel","strata","meandepth","hauling_time","ptot","Lat","Lon","sqkm","W_sqkm","doy","hour"
"85",1995,45,"A",17,135,6,27,"EGU","A",30.5,825,70,45.1008333333333,12.6803333333333,0.06806566570077,1.0284186495396,178,8
"86",1995,49,"A",17,165,6,21,"EGU","A",41.5,1852,660,44.7341666666667,13.028,0.0439384911,15.020998297322,172,18
"87",1995,56,"A",17,185,6,20,"EGU","A",26.5,1435,80,43.6533333333333,13.6556666666667,0.0465173228,1.7197894286384,171,14
"88",1995,58,"B",17,200,6,20,"EGU","B",53,1217,110,43.6273333333333,13.8456666666667,0.0539784126,2.03785170221919,171,12
"89",1995,59,"A",17,130,6,19,"EGU","A",16,1702,40,43.4351666666667,13.7958333333333,0.05077485061,0.787791584208464,170,17
"90",1995,60,"A",17,140,6,19,"EGU","A",15,1750,1880,43.4108333333333,13.7643333333333,0.05047990521,37.2425421992982,170,17
"91",1995,61,"A",17,145,6,19,"EGU","A",40,1539,90,43.4153333333333,13.9518333333333,0.04784329476,1.88114134805042,170,15
"92",1995,63,"C",17,135,6,30,"EGU","C",104.5,1658,20,42.8056666666667,14.403,0.05258697506,0.380322313218828,181,16
"93",1995,68,"C",17,160,6,6,"EGU","C",164,1436,60,42.5766666666667,15.185,0.0486994605,1.23204650285602,157,14
"94",1995,69,"C",17,135,6,6,"EGU","C",169.5,1212,25,42.5101666666667,14.9941666666667,0.04810139695,0.519735425272301,157,12
"95",1995,70,"A",17,215,6,12,"EGU","A",34.5,1202,560,42.5215,14.295,0.04252220199,13.1695907971016,163,12
"96",1995,72,"A",17,190,6,12,"EGU","A",25.5,733,460,42.1818333333333,14.8075,0.0462785043,9.93981994357583,163,7
"97",1995,80,"A",18,120,6,30,"BIM","A",37.5,815,20,41.1151666666667,17.0003333333333,0.0433368,0.461501541415148,181,8
"98",1995,81,"C",18,235,6,22,"BIM","C",187.5,1405,140,40.4101666666667,18.594,0.048615,2.87976961843053,173,14
"99",1995,82,"C",17,210,6,15,"EGU","C",159.5,1050,620,42.1795,16.6015,0.0480159593,12.9123734907864,166,10
"100",1995,83,"C",17,205,6,15,"EGU","C",138,1208,360,42.1473333333333,16.493,0.0530290234,6.7887352419166,166,12
"101",1995,84,"C",17,120,6,15,"EGU","C",114.5,1436,15,42.1498333333333,16.0576666666667,0.0464855915,0.322680631051021,166,14
"102",1995,84,"C",18,225,6,27,"BIM","C",122,1505,680,40.6111666666667,18.4901666666667,0.0477816,14.2314196259648,178,15
"103",1995,95,"C",18,245,6,26,"BIM","C",116,1640,153,40.7255,18.2833333333333,0.0512599,2.98478927972938,177,16
"104",1995,121,"A",18,145,7,10,"BIM","A",15,1040,68,41.6953333333333,16.2431666666667,0.0405588,1.67657820251092,191,10
"105",1995,123,"A",18,55,7,9,"BIM","A",38,1110,1,41.5895,16.3611666666667,0.0433368,0.0230750770707574,190,11
"106",1995,133,"C",18,125,7,9,"BIM","C",137.5,1525,20,41.895,16.6943333333333,0.048615,0.411395659775789,190,15
"107",1995,134,"C",18,120,7,9,"BIM","C",136.5,1425,19,41.863,16.6945,0.0480594,0.395344095015751,190,14
"108",1995,137,"C",18,210,7,5,"BIM","C",152.5,1140,474,41.5655,16.9473333333333,0.048615,9.75007713668621,186,11
"109",1995,139,"D",18,205,7,5,"BIM","D",223.5,1910,140,41.9468333333333,16.8,0.0988968,1.41561708771163,186,19
"110",1996,1,"A",18,150,7,18,"PEC","A",39,1715,1650,41.6455,19.3785,0.0448096,36.8224666142969,200,17
"111",1996,2,"A",18,175,7,22,"PEC","A",39,925,3200,40.7935,19.2961666666667,0.047173,67.8354143259916,204,9
"112",1996,3,"C",17,145,6,3,"EGU","C",143.5,1043,40,42.5161666666667,15.376,0.049379677828,0.810049837492431,155,10
"113",1996,4,"B",18,210,7,19,"PEC","B",79,610,1400,41.6603333333333,19.2345,0.0471247,29.7084119368399,201,6
"114",1996,5,"B",18,135,7,18,"PEC","B",79,1545,20,41.5485,19.2738333333333,0.0439714,0.454841101261274,200,15
"115",1996,6,"B",18,120,7,19,"PEC","B",89,800,70,41.4923333333333,19.2685,0.0468027,1.49564020879137,201,8
"116",1996,6,"C",17,175,6,3,"EGU","C",134.5,1544,130,42.5461666666667,15.8053333333333,0.04674347462,2.78113685507618,155,15
"117",1996,7,"B",18,175,7,18,"PEC","B",86.5,1110,1500,41.2928333333333,19.2075,0.0465775,32.2043905319092,200,11
"118",1996,8,"B",18,200,7,19,"PEC","B",77.5,1015,250,41.2181666666667,19.3153333333333,0.0471891,5.29783360988025,201,10
"119",1996,9,"B",18,195,7,22,"PEC","B",88,700,900,40.8548333333333,19.2025,0.048248,18.6536229481015,204,7
"120",1996,9,"D",17,245,6,4,"EGU","D",236.5,703,720,42.0481666666667,16.7953333333333,0.08660896464,8.3132271929674,156,7
"121",1996,10,"B",18,190,7,22,"PEC","B",85.5,800,950,40.8036666666667,19.2051666666667,0.0458193,20.7336209850434,204,8
"122",1996,10,"D",17,260,6,4,"EGU","D",221.5,843,690,42.0808333333333,16.7693333333333,0.0822840415,8.38558713720935,156,8
"123",1996,11,"B",18,220,7,22,"PEC","B",70.5,1020,1050,40.7516666666667,19.2591666666667,0.0476721,22.025461433417,204,10
"124",1996,12,"B",18,180,7,22,"PEC","B",82.5,1120,370,40.7028333333333,19.2196666666667,0.0459655,8.04951539741763,204,11
"125",1996,13,"A",17,115,6,4,"EGU","A",20,1429,20,41.9936666666667,15.9651666666667,0.04399597404,0.454587048847163,156,14
"126",1996,13,"B",18,275,7,22,"PEC","B",88,1230,350,40.666,19.2073333333333,0.0463841,7.54568914778987,204,12
"127",1996,15,"C",18,210,7,18,"PEC","C",107.5,1215,1200,41.3271666666667,19.136,0.0465365,25.786210823762,200,12
"128",1996,16,"C",18,145,7,21,"PEC","C",156,1005,35,40.8213333333333,19.0556666666667,0.0488241,0.716859092128682,203,10
"129",1996,18,"C",17,165,6,5,"EGU","C",163.5,639,270,42.7853333333333,15.3048333333333,0.048083986,5.61517508136701,157,6
"130",1996,18,"C",18,160,7,21,"PEC","C",172.5,1210,50,40.7328333333333,19.0818333333333,0.054366,0.919692454843101,203,12
"131",1996,19,"C",17,140,6,5,"EGU","C",170,831,40,42.6371666666667,15.1491666666667,0.0465521068,0.859252196078911,157,8
"132",1996,19,"C",18,210,7,22,"PEC","C",162,1455,220,40.6136666666667,19.1573333333333,0.0496691,4.42931319472267,204,14
"133",1996,20,"C",18,220,7,22,"PEC","C",143,1600,330,40.5748333333333,19.1838333333333,0.0498719,6.61695263264484,204,16
"134",1996,21,"C",18,200,7,23,"PEC","C",145,610,200,40.5411666666667,19.1973333333333,0.0517309,3.8661612305218,205,6
"135",1996,21,"D",17,145,6,5,"EGU","D",214.5,1247,60,42.7945,15.0175,0.10354865034,0.579437779275646,157,12
"136",1996,22,"C",18,210,7,23,"PEC","C",154,710,220,40.5005,19.2021666666667,0.0431964,5.09301701067682,205,7
"137",1996,23,"C",18,220,7,23,"PEC","C",162.5,810,350,40.4756666666667,19.2085,0.0512408,6.83049444973537,205,8
"138",1996,24,"C",17,200,6,5,"EGU","C",140.5,1741,1200,42.9076666666667,14.6041666666667,0.04454939056,26.9363954234978,157,17
"139",1996,25,"C",17,175,6,6,"EGU","C",120.5,315,880,43.2131666666667,14.8946666666667,0.04462661062692,19.719176241208,158,3
"140",1996,26,"B",17,165,6,6,"EGU","B",94,531,750,43.4396666666667,14.6865,0.04391660204,17.0778239927781,158,5
"141",1996,26,"D",18,95,7,20,"PEC","D",296,1915,10,41.108,18.8526666666667,0.0940601,0.106315004980858,202,19
"142",1996,27,"B",17,175,6,6,"EGU","B",93,632,1000,43.3938333333333,14.6255,0.04494641646,22.2487147755138,158,6
"143",1996,28,"B",17,150,6,6,"EGU","B",93.5,746,30,43.352,14.4865,0.04581598176,0.654793346067545,158,7
"144",1996,34,"A",17,180,6,7,"EGU","A",19.5,307,1250,42.7071666666667,14.1145,0.0404373207,30.9120381459892,159,3
"145",1996,35,"A",17,140,6,7,"EGU","A",20,419,30,42.6551666666667,14.1538333333333,0.044424953,0.67529615619402,159,4
"146",1996,38,"A",17,180,6,7,"EGU","A",28.5,958,500,42.3981666666667,14.448,0.0394972705,12.6591026081157,159,9
"147",1996,44,"B",17,170,6,10,"EGU","B",71.65,1317,80,44.0348333333333,13.8408333333333,0.0451501788,1.77186452249443,162,13
"148",1996,45,"B",17,215,6,10,"EGU","B",70.9,1438,300,44.0073333333333,14.0131666666667,0.0438969114,6.83419380617289,162,14
"149",1996,47,"B",17,205,6,11,"EGU","B",80.9,256,1550,43.6978333333333,14.3463333333333,0.04589826621,33.7703387946775,163,2
