"year","area","haul_number","source"
2008,17,20,"no_few"
2008,17,39,"no_few"
2008,17,55,"no_few"
2008,17,69,"no_few"
2008,17,70,"no_few"
2008,17,71,"no_few"
2008,17,73,"no_few"
2008,17,74,"no_few"
2008,17,78,"no_few"
2008,17,93,"no_few"
2008,17,94,"no_few"
2008,17,95,"no_few"
2008,17,96,"no_few"
2008,17,97,"no_few"
2008,17,98,"no_few"
2008,17,99,"no_few"
2009,17,100,"no_few"
2009,17,101,"no_few"
2009,17,103,"no_few"
2009,17,105,"no_few"
2009,17,106,"no_few"
2009,17,109,"no_few"
2009,17,113,"no_few"
2009,17,116,"no_few"
2009,17,117,"no_few"
2009,17,119,"no_few"
2009,17,29,"no_few"
2009,17,3,"no_few"
2009,17,4,"no_few"
2009,17,57,"no_few"
2009,17,60,"no_few"
2009,17,61,"no_few"
2009,17,72,"no_few"
2009,17,8,"no_few"
2009,17,82,"no_few"
2009,17,83,"no_few"
2009,17,84,"no_few"
2009,17,85,"no_few"
2009,17,89,"no_few"
2009,17,90,"no_few"
2009,17,91,"no_few"
2009,17,97,"no_few"
2009,17,98,"no_few"
2010,17,107,"no_few"
2010,17,108,"no_few"
2010,17,110,"no_few"
2010,17,120,"no_few"
2010,17,14,"no_few"
2010,17,3,"no_few"
2010,17,32,"no_few"
2010,17,37,"no_few"
2010,17,39,"no_few"
2010,17,41,"no_few"
2010,17,63,"no_few"
2010,17,69,"no_few"
2010,17,74,"no_few"
2010,17,75,"no_few"
2010,17,77,"no_few"
2010,17,90,"no_few"
2011,17,103,"no_few"
2011,17,107,"no_few"
2011,17,11,"no_few"
2011,17,115,"no_few"
2011,17,122,"no_few"
2011,17,14,"no_few"
2011,17,18,"no_few"
2011,17,19,"no_few"
2011,17,20,"no_few"
2011,17,3,"no_few"
2011,17,4,"no_few"
2011,17,41,"no_few"
2011,17,44,"no_few"
2011,17,51,"no_few"
2011,17,55,"no_few"
2011,17,77,"no_few"
2011,17,78,"no_few"
2011,17,87,"no_few"
2011,17,9,"no_few"
2011,17,94,"no_few"
2011,17,97,"no_few"
2011,17,99,"no_few"
2012,17,101,"no_few"
2012,17,102,"no_few"
2012,17,104,"no_few"
2012,17,105,"no_few"
2012,17,107,"no_few"
2012,17,11,"no_few"
2012,17,116,"no_few"
2012,17,12,"no_few"
2012,17,130,"no_few"
2012,17,19,"no_few"
2012,17,23,"no_few"
2012,17,28,"no_few"
2012,17,29,"no_few"
2012,17,30,"no_few"
2012,17,32,"no_few"
2012,17,42,"no_few"
2012,17,43,"no_few"
2012,17,52,"no_few"
2012,17,59,"no_few"
2012,17,62,"no_few"
2012,17,63,"no_few"
2012,17,65,"no_few"
2012,17,67,"no_few"
2012,17,68,"no_few"
2012,17,72,"no_few"
2012,17,74,"no_few"
2012,17,81,"no_few"
2012,17,86,"no_few"
2012,17,87,"no_few"
2012,17,88,"no_few"
2012,17,89,"no_few"
