"","year","haul_number","stratum","Val_haul"
"366",2014,171,"A",80
"367",2015,1,"A",105
"368",2015,2,"A",90
"369",2015,4,"B",80
"370",2015,6,"B",65
"371",2015,8,"B",80
"372",2015,13,"B",70
"373",2015,17,"C",65
"374",2015,41,"B",70
"375",2015,80,"A",70
"376",2015,129,"B",95
"377",2015,134,"B",95
"378",2015,163,"B",80
"379",2015,171,"A",70
"380",2016,1,"A",80
"381",2016,2,"A",60
"382",2016,8,"B",100
"383",2016,117,"A",40
"384",2016,121,"A",55
"385",2016,126,"B",100
"386",2016,129,"B",115
"387",2016,160,"B",110
"388",2016,163,"B",95
"389",2016,171,"A",70
"390",2017,109,"A",130
"391",2017,112,"B",40
"392",2017,117,"A",40
"393",2017,126,"B",115
"394",2017,129,"B",125
"395",2017,138,"C",60
"396",2017,160,"B",115
"397",2017,166,"C",80
