"","year","haul_number","stratum","Val_haul"
"605",2010,105,"B",35
"606",2010,107,"C",120
"607",2010,110,"C",120
"608",2010,112,"B",30
"609",2010,125,"A",40
"610",2010,126,"B",40
"611",2010,129,"B",40
"612",2010,131,"C",125
"613",2010,132,"C",115
"614",2010,133,"C",90
"615",2010,134,"B",135
"616",2010,137,"C",85
"617",2010,138,"C",30
"618",2010,139,"D",145
"619",2010,142,"D",100
"620",2010,145,"D",110
"621",2010,146,"C",105
"622",2010,147,"C",120
"623",2010,148,"C",95
"624",2010,150,"C",90
"625",2010,151,"D",165
"626",2010,154,"B",140
"627",2010,158,"C",115
"628",2010,160,"B",25
"629",2010,161,"C",105
"630",2010,162,"C",135
"631",2010,167,"D",110
"632",2010,168,"D",95
"633",2010,170,"E",100
"634",2010,172,"C",110
"635",2010,173,"C",80
"636",2010,174,"D",100
"637",2010,175,"B",100
"638",2010,177,"D",100
"639",2010,179,"C",105
"640",2010,180,"B",75
"641",2011,14,"C",95
"642",2011,23,"C",115
"643",2011,26,"D",110
"644",2011,27,"D",80
"645",2011,32,"E",90
"646",2011,76,"B",115
"647",2011,77,"D",125
"648",2011,83,"C",125
"649",2011,84,"C",135
"650",2011,88,"B",130
"651",2011,93,"C",115
"652",2011,95,"C",130
"653",2011,97,"C",110
"654",2011,104,"B",130
"655",2011,107,"C",120
"656",2011,110,"C",30
"657",2011,132,"C",100
"658",2011,134,"B",45
"659",2011,137,"C",95
"660",2011,139,"D",125
"661",2011,145,"D",100
"662",2011,146,"C",115
"663",2011,147,"C",100
"664",2011,148,"C",90
"665",2011,150,"C",95
"666",2011,151,"D",125
"667",2011,157,"C",115
"668",2011,158,"C",145
"669",2011,161,"C",110
"670",2011,162,"C",85
"671",2011,167,"D",85
"672",2011,168,"D",75
"673",2011,172,"C",35
"674",2011,174,"D",95
"675",2012,23,"C",95
"676",2012,31,"D",80
"677",2012,77,"D",150
"678",2012,83,"C",110
"679",2012,84,"C",130
"680",2012,95,"C",120
"681",2012,104,"B",120
"682",2012,107,"C",100
"683",2012,110,"C",110
"684",2012,129,"B",130
"685",2012,131,"C",40
"686",2012,132,"C",130
"687",2012,134,"B",35
"688",2012,137,"C",85
"689",2012,138,"C",120
